Arabic, عربى
Use Custom Admin Path,استخدام المسار المعدل للمدير
Custom Admin Path,مسار المسؤول معدل
You will have to sign in after you save your custom admin path.,يجب عليك إعادة تسجيل الدخول بعد أن قمت بحفظ مسار المدير المخصص.
Security,الحماية
Recovery Link Expiration Period (hours),عمر الصلاحية لرابط الاسترداد (ساعات)
Please enter a number 1 or greater in this field.,الرجاء إدخال رقم 1 أو أكبر في هذا الحقل.
Add Secret Key to URLs,أضف مفتاح سري للروابط
Login is Case Sensitive,تسجيل الدخول يحتسب حالة الأحرف
Admin Session Lifetime (seconds),مدة جلسة المدير (بالثواني)
Please enter at least 60 and at most 31536000 (one year).,الرجاء إدخال 60 على الأقل, وعلى الأكثر 31536000 (سنة واحدة).,,,,
Enable Charts,تمكين المخططات
Web,موقع
Url Options,خيارات الموقع
Add Store Code to Urls,رمز المخزن اضافة الى عناوين المواقع
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">تحذير</strong> عند استخدام رمز المتجر في الرابط، ففي بعض الحالات لن يعمل النظام بصورة صحيحة في حال كانت الروابط بدون رموز المتجر المحددة سلفا من قبل طرف ثالث (كخدمة بي بال)."
Auto-redirect to Base URL,إعادة التوجيه آلية إلى الربط الأساس
Search Engine Optimization,تحسين محرك البحث
Use Web Server Rewrites,إعادة كتابة باستخدام خادم الويب
Base URLs,الرابط الأساس
Base URL,قاعدة الموقع
Specify URL or {{base_url}} placeholder.,تحديد رابط أو {{base_url}}.
Base Link URL,قاعدة وصلة الموقع
Base URL for Static View Files,رابط أساس أو ملف عرض ثابت
May be empty or start with {{unsecure_base_url}} placeholder.,قد يكون فارغ أو يبدأ بـ{{unsecure_base_url}}.
Base URL for User Media Files,الرابط الأساس لمفات الوسائط
Base URLs (Secure),الرابط الأساس (مؤمن)
Secure Base URL,موقع قاعدة مامونه
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.",حدد رابط أو {{base_url}}, أو {{unsecure_base_url}}.,,,,
Secure Base Link URL,رابط المتجر الأساسي الأمن
Secure Base URL for Static View Files,رابط المتجر الأساسي الآمن لملفات العرض الثابت
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.",قد تكون فارغة أو تبدأ بـ {{secure_base_url}} , أو {{unsecure_base_url}}.,,,,
Secure Base URL for User Media Files,حماية الرابط الاساسي لملفات الواسائط للمستخدم
Use Secure URLs on Storefront,استخدم روابط آمنة في واجهة الموقع
Use Secure URLs in Admin,استخدام عناوين في ادارة امن
Enable HTTP Strict Transport Security (HSTS),تمكين النظام الأمني (HSTS)
Upgrade Insecure Requests,ترقية الطلبات الغير مؤمنة
Offloader header,أيقاف تحميل الترويسة
Default Pages,الصفحات الافتراضية
Default Web URL,رابط الويب الإفتراضي
Default No-route URL,عنوان URL الافتراضي دون توجيه
Session Validation Settings,إعدادات صلاحية الجلسة
Validate REMOTE_ADDR,التحقق من صحة REMOTE_ADDR
Validate HTTP_VIA,التحقق من صحة HTTP_VIA
Validate HTTP_X_FORWARDED_FOR,التحقق من صحة HTTP_X_FORWARDED_FOR
Validate HTTP_USER_AGENT,التحقق من صحة HTTP_USER_AGENT
Use SID on Storefront,استخدام SID في واجهة المتجر
Allows customers to stay logged in when switching between different stores.,يسمح للعملاء بالبقاء في وضع تسجيل الدخول عند التبديل بين المتاجر المختلفة.
Cache Type,نوع التخزين المؤقت
Description,الوصف
Tags,علامات
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> خطأ 404</h1> <p>لم يتم العثور على الصفحة.</p>"
Community Edition,النسخة العامة
Default Theme,القالب الافتراضي
"If no value is specified, the system default is used. The system default may be modified by third party extensions.",إذا لم تحديد أية قيمة, يتم استخدام الإعداد الافتراضي للنظام. يمكن تعديل النظام الافتراضي من خلال التطبقات الأخرى.,,,,
Applied Theme,القالب المطبق
Design Rule,تصميم القاعدة
User Agent Rules,صلاحيات المستخدم
Pagination,ترقيم الصفحات
How many links to display at once.,كم عدد الروابط التي يتم عرضها في وقت واحد.
Pagination Frame,إطار الصفحات ترقيم الصفحات
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.",إذا كان موضع الإطار الحالي لا يغطي صفحات قصوى, فإنه يجعل الارتباط إلى الموضع الحالي علامة زائد/ناقص من هذه القيمة.,,,,
Pagination Frame Skip,تخطي ترقيم الصفحات
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.",ترقيم بديل لربط الصفحات التالية لقائمة الصفحات. إذا كان فارغاً, يتم استخدام رسم السهم افتراضيا.,,,,
Anchor Text for Previous,رابط النص للسابق
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.",ترقيم بديل لربط الصفحات التالية لقائمة الصفحات. إذا كان فارغاً, يتم استخدام رسم السهم افتراضيا.,,,,
Anchor Text for Next,رابط النص للتالي
Theme Name,اسم السمة
System Backup,نظام النسخ الاحتياطي
Database and Media Backup,النسخ الاحتياطي لقاعدة البيانات و الوسائط
Database Backup,النسخ الاحتياطي لقاعدة البيانات
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","يمكن أن يكون الأرشيف غير مضغوط مع <a href=""%1"">%2</a> على أنظمة وندوز."
You need more permissions to activate maintenance mode right now.,تحتاج مزيد من الصلاحيات لتنشيط وضع الصيانة الآن.
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","لإنشاء النسخ الاحتياطي، الرجاء قم بإلغاء تحديد ""وضع المتجر في وضع الصيانة"" أو تحديث الأذونات الخاصة بك."
Something went wrong while putting your store into maintenance mode.,حدث خطأ في وضع المتجر الخاص بك في وضع الصيانة.
You need more free space to create a backup.,كنت بحاجة إلى مزيد من المساحة الحرة لإنشاء نسخة احتياطية.
You need more permissions to create a backup.,انت بحاجة إلى مزيد من الأذونات لإنشاء نسخة احتياطية.
We can't create the backup right now.,لا يمكننا إنشاء النسخ الاحتياطي الآن.
Backups,الاحتياطات
System,النظام
Tools,ادوات
Backup,نسخة احتياطية
We can't delete one or more backups.,لا يمكننا حذف واحد أو أكثر من النسخ الاحتياطية.
failed,فشل
successful,تم بنجاح
You deleted the selected backup(s).,تم حذف النسخة أو النسخ الاحتياطية المحددة.
Can't load snapshot archive,لا يمكن تحميل لقطة الأرشيف
Please correct the password.,الرجاء تصحيح كلمة المرور.
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","الرجاء إكمال الاستعادة، قم بإلغاء تحديد ""وضع المتجر في وضع الصيانة"" أو تحديث الأذونات الخاصة بك."
We can't find the backup file.,لا يمكننا العثور على ملف النسخ الاحتياطي.
We can't connect to the FTP right now.,لا يمكننا الاتصال بال FTP الآن.
Failed to validate FTP.,فشل التحقق من صحة FTP.
You need more permissions to perform a rollback.,تحتاج إلى مزيد من الأذونات تنفيذ الاستعادة.
Failed to rollback.,فشلت الاستعادة.
Database,قاعدة البيانات
Database and Media,قاعدة البيانات و الوسائط
System (excluding Media),النظام (باستثناء الوسائط)
You created the system backup.,تم إنشاء نظام النسخ الاحتياطي.
You created the system backup (excluding media).,لقد قمت بإنشاء نظام النسخ الاحتياطي (باستثناء الوسائط).
You created the database and media backup.,لقد قمت بإنشاء نسخة احتياطية لقاعدة البيانات والوسائط.
You created the database backup.,قمت بإنشاء قاعدة البيانات الاحتياطية.
Please correct the order of creation for a new backup.,الرجاء تصحيح الطلب لإنشاء نسخة احتياطية جديدة.
The backup file does not exist.,ملف النسخة الاحتياطية غير موجود.
The backup file path was not specified.,لم يتم تحديد مسار ملف النسخ الاحتياطي.
"The backup file ""%1"" does not exist.","ملف النسخ الاحتياطي ""%1""غير موجود."
"Sorry, but we cannot read from or write to backup file ""%1"".","عذراً، لا يمكننا القراءة أو الكتابة من و إلى ملف النسخ الاحتياطي ""%1""."
The backup file handler was unspecified.,لم يتم تحديد مسار ملف النسخ الاحتياطي.
"Something went wrong while writing to the backup file ""%1"".","حدث خطأ أثناء الكتابة إلى ملف النسخ الاحتياطي ""%1""."
We can't save the Cron expression.,لم نتمكن من حفظ تعبير Cron.
"You will lose any data created since the backup was made, including admin users, customers and orders.",سوف تفقد أية بيانات تم إنشاؤها منذ عملية النسخ الاحتياطي, بما في ذلك المشرفين والعملاء والطلبات.,,,,
Are you sure you want to continue?,هل انت متأكد انك تريد الاستمرار؟
This may take a few moments.,قد يستغرق هذا بضع لحظات.
Be sure your store is in maintenance mode during backup.,الرجاء وضع المتجر الخاص بك في وضع الصيانة أثناء النسخ الاحتياطي.
Backup Name,اسم النسخة الاحتياطية
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.",الرجاء استخدام الأحرف (a إلى z أو A إلى Z), الأرقام (0-9) أو مسافات فقط في هذا الحقل.,,,,
Maintenance mode,وضع الصيانة
Please put your store into maintenance mode during backup.,الرجاء وضع المتجر الخاص بك في وضع الصيانة أثناء النسخ الاحتياطي.
Exclude,استبعاد
Exclude media folder from backup,استبعاد المجلد وسائط من النسخ الاحتياطي
Please enter the password to confirm rollback.,الرجاء إدخال كلمة المرور لتأكيد العودة إلى الحالة السابقة.
This action cannot be undone.,لا يمكن التراجع عن هذا الإجراء.
User Password,كلمة المرور
Please put your store into maintenance mode during rollback processing.,الرجاء وضع المتجر الخاص بك في وضع الصيانة أثناء معالجة الاستعادة.
FTP,بروتوكول نقل الملفات
Use FTP Connection,استخدام اتصال FTP
FTP credentials,أوراق اعتماد بروتوكول نقل الملفات
FTP Host,مضيف FTP
FTP Login,تسجيل دخول FTP
FTP Password,كلمة مرور بروتوكول نقل الملفات
Magento root directory,الدليل الجذر لماجنتو
Create Backup,انشئ نسخة احتياطية
Rollback,العودة إلى الحالة السابقة
Scheduled Backup Settings,إعدادات النسخ الاحتياطي المجدولة
Enable Scheduled Backup,تمكين النسخ الاحتياطي المجدول
Backup Type,نوع النسخ الاحتياطي
Start Time,زمن البداية
Frequency,التردد
Maintenance Mode,وضع الصيانة
Delete,احذف
Are you sure you want to delete the selected backup(s)?,هل أنت متأكد من أنك تريد حذف النسخة أو النسخ الاحتياطية المحددة؟
Time,الزمن
Name,اسم
Size(bytes),الحجم(بايت)
Type,النوع
Download,تحميل
Action,إجراء
Dynamic Blocks,Dynamic Blocks
Add Dynamic Block,Add Dynamic Block
Save Dynamic Block,Save Dynamic Block
Delete Dynamic Block,Delete Dynamic Block
Save and Continue Edit,حفظ ومواصلة التعديل
New Dynamic Block,New Dynamic Block
Delete,احذف
Are you sure you want to do this?,Are you sure you want to do this?
Reset,Reset
Save,Save
Content,المحتوى
Default Content,المحتوى الافتراضي
No Default Content,لا يوجد محتوى افتراضي
Dynamic Block Default Content for All Store Views,Dynamic Block Default Content for All Store Views
Store View Specific Content,محتوى محدد لواجة متجر
Use Default,استخدام افتراضي
Related Promotions,عروض ذات صلة
ID,رقم المعرف
Rule,قاعدة
Start Date,تاريخ البدء
End Date,تاريخ الانتهاء
Status,الحاله
Dynamic Block Properties,Dynamic Block Properties
Dynamic Block Name,Dynamic Block Name
Active,فعال
Inactive,خاملة
Applies To,ينطبق على
Any Dynamic Block Type,Any Dynamic Block Type
Specified Dynamic Block Types,Specified Dynamic Block Types
Specify Types,تحديد أنواع
Dynamic Block Information,Dynamic Block Information
Dynamic Block,Dynamic Block
Dynamic Block Type,Dynamic Block Type
Visibility,الظهور
Are you sure you want to delete these dynamic blocks?,Are you sure you want to delete these dynamic blocks?
Related Dynamic Blocks,Related Dynamic Blocks
Position,موقع
This rule no longer exists.,هذة القاعدة لم تعد موجودة.
You deleted the dynamic block.,You deleted the dynamic block.
Something went wrong while deleting dynamic block data. Please review the action log and try again.,Something went wrong while deleting dynamic block data. Please review the action log and try again.
We cannot find a dynamic block to delete.,We cannot find a dynamic block to delete.
This dynamic block no longer exists.,This dynamic block no longer exists.
Edit Dynamic Block,Edit Dynamic Block
Please select a dynamic block(s).,Please select a dynamic block(s).
You deleted %1 record(s).,لقد حذفت %1 من السجلات.
Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.,Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.
This dynamic block does not exist.,This dynamic block does not exist.
You saved the dynamic block.,You saved the dynamic block.
We cannot save the dynamic block.,We cannot save the dynamic block.
Please enter a name.,الرجاء إدخال الأسم.
Please specify default content for at least one store view.,الرجاء تحديد المحتوى الافتراضي لواجهة متجر واحدة على الأقل.
-- None --,-- لا شيء --
Error,خطأ
Content Area,منطقة المحتوى
Footer,ذيل الصفحة
Header,الترويسة
Left Column,العمود الأيسر
Right Column,العمود الأيمن
Manage Dynamic Blocks,Manage Dynamic Blocks
Dynamic Blocks Rotator,Dynamic Blocks Rotator
Displays Specified or Promotion Dynamic Blocks,Displays Specified or Promotion Dynamic Blocks
Dynamic Blocks to Display,Dynamic Blocks to Display
Specified Dynamic Blocks,Specified Dynamic Blocks
Shopping Cart Promotions Related,عروض متعلقة بسلة الشراء
Catalog Promotions Related,عروض متعلة بالكتالوج
Restrict by Dynamic Block Types,Restrict by Dynamic Block Types
Rotation Mode,وضع الاستدارة
Display all instead of rotating,عرض كل شيء بدلاً من التدوير
"One at the time, Random",واحدة في كل مرة, عشوائي,,,,
"One at the time, Series",واحدة في مرة, متسلسل,,,,
"One at the time, Shuffle",واحدة في مرة, مخلوطة,,,,
Specify Dynamic Blocks,Specify Dynamic Blocks
Dynamic Block Template,Dynamic Block Template
Dynamic Block Inline Template,Dynamic Block Inline Template
Name,Name
Status Label,Status Label
General Information,General Information
Back,Back
Enable Dynamic Block,Enable Dynamic Block
Use Default Value,Use Default Value
Cart price rules allows you to setup promotions for items that are in the shopping cart.,Cart price rules allows you to setup promotions for items that are in the shopping cart.
Add Cart Price Rules,Add Cart Price Rules
Related Catalog Price Rule,Related Catalog Price Rule
Catalog price rules allows you to setup promotions for an items in catalog.,Catalog price rules allows you to setup promotions for an items in catalog.
Cancel,Cancel
Add Selected,Add Selected
Remove,Remove
All Segments,All Segments
Customer Segment,Customer Segment
Country,الدولة
Allowed Credit Card Types,أنواع بطاقات الائتمان المسموحة
Add Rule,إضافة قاعدة
Braintree Settlement Report,تقرير تسوية Braintree
"Sorry, but something went wrong",عفواً, حدث خطأ,,,,
Checkout failed to initialize. Verify and try again.,Checkout failed to initialize. Verify and try again.
No authorization transaction to proceed capture.,لا إذن لمتابعة المعاملة الالتقاط.
Braintree error response.,رد خطأ Braintree.
Payment method nonce can't be retrieved.,لا يمكن استرداد طريقة الدفع التجريبية.
Wrong transaction status,حالة المعاملة غير صحيحة
Authorize,تصريح
Authorize and Capture,التحقق و القبض
--Please Select--,--أختر من فضلك--
Credit Card,بطاقة إئتمان
ending,يتم الإنهاء
expires,تنتهي
PayPal,باي بال
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
Transaction was failed.,Transaction was failed.
Credit Card Type,نوع بطاقة الائتمان
Credit Card Number,رقم بطاقة الائتمان
"Please, enter valid Credit Card Number","الرجاء إدخال ""رقم بطاقة ائتمان"" صالح"
Expiration Date,تاريخ الانتهاء
"Please, enter valid Expiration Date","الرجاء إدخال ""تاريخ انتهاء صلاحية"" صالح"
Card Verification Number,رقم التحقق من البطاقة
"Please, enter valid Card Verification Number",الرجاء إدخال رقم تحقق صالح
Save for later use.,حفظ لاستخدامها في وقت لاحق.
Are you sure you want to delete this PayPal account,هل أنت متأكد من أنك تريد حذف حساب بأي بال هذا
PayPal Account,PayPal Account
PayPal Logo,شعار باي بال
Actions,اعمال
Delete,احذف
Credit Card Information,معلومات بطاقة الائتمان
What is this?,ما هذا؟
Place Order,إنشاء الطلب
This payment is not available,طريقة الدفع غير متوفرة
MM,MM
YY,YY
Please try again with another form of payment.,الرجاء المحاولة مرة أخرى بطريقة دفع أخرى.
"Sorry, but something went wrong.",عفواً, حدث خطأ.,,,,
Payment,الدفع
Credit card type is not accepted by this merchant account.,لم يتم قبول نوع بطاقة الائتمان بحساب هذا التاجر.
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
Credit transactions cannot be refunded.,Credit transactions cannot be refunded.
Cannot refund a transaction unless it is settled.,لا يمكن استرداد المعاملة التجارية إلا أن تتم تسويتها.
Cannot submit for settlement unless status is authorized.,لا يمكن الأرسال للتسوية إلا إذا كانت الحالة مرخصة.
Customer does not have any credit cards.,ليس لدى العميل أي بطاقات ائتمان.
Transaction has already been completely refunded.,Transaction has already been completely refunded.
Payment instrument type is not accepted by this merchant account.,Payment instrument type is not accepted by this merchant account.
Processor authorization code cannot be set unless for a voice authorization.,رمز ترخيص المعالج لايمكن ان يعين إلا إذا تم تعيين ترخيص صوتي.
Refund amount is too large.,Refund amount is too large.
Settlement amount is too large.,Settlement amount is too large.
Cannot provide a billing address unless also providing a credit card.,لا يمكن توفير عنوان الفوترة إلا بتقديم بطاقة ائتمان.
Cannot refund a transaction with a suspended merchant account.,Cannot refund a transaction with a suspended merchant account.
Merchant account does not support refunds.,Merchant account does not support refunds.
Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.,Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.
PayPal is not enabled for your merchant account.,PayPal is not enabled for your merchant account.
Partial settlements are not supported by this processor.,Partial settlements are not supported by this processor.
Cannot submit for partial settlement.,Cannot submit for partial settlement.
Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.,Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.
Too many concurrent attempts to refund this transaction. Try again later.,Too many concurrent attempts to refund this transaction. Try again later.
Too many concurrent attempts to void this transaction. Try again later.,Too many concurrent attempts to void this transaction. Try again later.
Braintree,Braintree
Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.,قبول بطاقات الائتمان و بايبال في المتجر. <br/> بدون رسوم إعداد أو رسوم شهرية, ولن يخرج عملائك من الموقع لإتمام الدفع.,,,,
Enable this Solution,تمكين هذا الحل
Enable PayPal through Braintree,تمكين باي بال عن طريق Braintree
Vault Enabled,تم تمكين الخزنة
Basic Braintree Settings,الإعدادات الأساسية Braintree
Title,العنوان
Environment,البيئة
Payment Action,فعل الدفع
Merchant ID,رمز تعريف التاجر
Public Key,المفتاح العمومي
Private Key,المفتاح الخاص
Advanced Braintree Settings,إعدادات متقدمة Braintree
Vault Title,اسم الخزنة
Merchant Account ID,معرف حساب التاجر
Advanced Fraud Protection,الحماية المتقدمة من الاحتيال
Kount Merchant ID,معرف تاجر Kount
Debug,نقح
CVV Verification,التحقق CVV
Credit Card Types,أنواع بطاقة الائتمان
Sort Order,الترتيب
Country Specific Settings,إعدادات محددة للبلد
Payment from Applicable Countries,الدفع من البلدان المطابقة
Payment from Specific Countries,الدفع من بلدان معينة
Country Specific Credit Card Types,أنواع بطاقات الائتمان المحددة للبلد
PayPal through Braintree,باي بال عن طريق Braintree
Override Merchant Name,تجاوز اسم التاجر
Require Customer's Billing Address,تتطلب المعالجة عناوين الفواتير للعميل
Allow to Edit Shipping Address Entered During Checkout on PayPal Side,السماح بتعديل عنوان الشحن خلال مرحلة الدفع بـ باي بال
Display on Shopping Cart,العرض في سلة التسوق
Skip Order Review,تخطي مراجعة الطلب
3D Secure Verification Settings,إعدادات التحقق آمنة 3D
3D Secure Verification,التحقق الآمن بستخدام 3D
Threshold Amount,مبلغ الحد الأعلى
Verify for Applicable Countries,تحقق من البلدان المطابقة
Verify for Specific Countries,تحقق من بلدان محددة
Dynamic Descriptors,معرفات ديناميكية
Name,اسم
Phone,الهاتف
URL,الرابط
CVV is required.,CVV مطلوب.
CVV must be 4 digits for American Express and 3 digits for other card types.,CVV must be 4 digits for American Express and 3 digits for other card types.
Expiration date is required.,تاريخ انتهاء الصلاحية مطلوب.
Expiration date is invalid.,تاريخ انتهاء الصلاحية غير صالح.
Expiration year is invalid. It must be between 1975 and 2201.,Expiration year is invalid. It must be between 1975 and 2201.
Expiration month is invalid.,شهر انتهاء الصلاحية غير صالح.
Expiration year is invalid.,سنة انتهاء الصلاحية غير صالح.
Credit card number is required.,مطلوب رقم بطاقة الائتمان.
Credit card number is invalid.,رقم بطاقة الائتمان غير صحيح.
Credit card number must be 12-19 digits.,يجب أن يكون رقم بطاقة الائتمان مابين 12- 19 رقم.
Cardholder name is too long.,اسم حامل البطاقة طويل جداً.
CVV verification failed.,CVV verification failed.
Postal code verification failed.,Postal code verification failed.
Credit card number is prohibited.,Credit card number is prohibited.
Addresses must have at least one field filled in.,Addresses must have at least one field filled in.
Company is too long.,اسم الشركة طويل جداً.
Extended address is too long.,العنوان الإضافي طويل جداً.
First name is too long.,الاسم الأول طويل جداً.
Last name is too long.,اسم العائلة طويل جداً.
Locality is too long.,الموقع طويل جداً.
Postal code is required.,الرمز البريدي مطلوب.
Postal code may contain no more than 9 letter or number characters.,الرمز البريدي قد يحتوي عن لا يزيد عن 9 أحرف أو أرقام.
Region is too long.,اسم المنطقة طويل جداً.
Street address is required.,عنوان الشارع مطلوب.
Street address is too long.,العنوان طويل جداً.
"Postal code can only contain letters, numbers, spaces, and hyphens.",الرمز البريدي يمكن أن يحتوي على فقط حروف وأرقام, ومسافات, و وصلات.,,,
US state codes must be two characters to meet PayPal Seller Protection requirements.,US state codes must be two characters to meet PayPal Seller Protection requirements.
Incomplete PayPal account information.,Incomplete PayPal account information.
Invalid PayPal account information.,Invalid PayPal account information.
PayPal Accounts are not accepted by this merchant account.,PayPal Accounts are not accepted by this merchant account.
Billing address format is invalid.,Billing address format is invalid.
Country name is not an accepted country.,اسم الدولة غير مقبول.
Country code is not accepted. Please contact the store administrator.,Country code is not accepted. Please contact the store administrator.
Provided country information is inconsistent.,Provided country information is inconsistent.
Customer has already reached the maximum of 50 addresses.,Customer has already reached the maximum of 50 addresses.
Address is invalid. Please contact the store administrator.,Address is invalid. Please contact the store administrator.
Error communicating with PayPal.,Error communicating with PayPal.
PayPal authentication expired.,PayPal authentication expired.
Error executing PayPal order.,Error executing PayPal order.
Error executing PayPal billing agreement.,Error executing PayPal billing agreement.
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.",تطبيق عامل تصفية من أجل الحصول على النتائج. سيتم عرض السجلات أول 100 فقط في الشبكة, سوف تكون قادرة على تحميل النسخة الكاملة من التقرير بتنسيق csv.,,,,
Select...,اختر...
Status,الحاله
Transaction Type,نوع المعاملة التجارية
Payment Type,وسيلة الدفع
PayPal Payment ID,معرف الدفع بأي بال
Created At,انشئة في
Transaction ID,رقم المعاملة
Order ID,رقم الطلب
Order Id,رقم الطلب
Type,النوع
Amount,الكمية
Settlement Code,رمز التسوية
Settlement Response Text,نص استجابة التسوية
Refund Ids,معرفات الإسترداد
Settlement Batch ID,معرف التسوية المجمعة
Currency,العملة
Country,الدولة
Allowed Credit Card Types,أنواع بطاقات الائتمان المسموحة
Add Rule,إضافة قاعدة
Braintree Settlement Report,تقرير تسوية Braintree
"Sorry, but something went wrong",عفواً, حدث خطأ,,,,
We can\'t initialize checkout.,لايمكننا تهيئة عملية الدفع.
No authorization transaction to proceed capture.,لا إذن لمتابعة معاملة الالتقاط.
Braintree error response.,رد خطأ Braintree.
Payment method nonce can\'t be retrieved.,طريقة الدفع الحالية لا يمكن استرجاعها.
Wrong transaction status,حالة المعاملة غير صحيحة
Authorize,تصريح
Authorize and Capture,التحقق و القبض
--Please Select--,--أختر من فضلك--
Please agree to all the terms and conditions before placing the order.,الرجاء الموافقة على كل الشروط والأحكام قبل انهاء طلبك.
Paypal account,حساب باي بال
Coinbase account,حساب Coinbase
Europe bank account,حساب مصرفي في أوروبا
Credit card,بطاقة الإئتمان
Apple pay card,بطاقة دفع أبل
Android pay card,بطاقة دفع اندرويد
Authorization expired,انتهت مدة صلاحية الترخيص
Authorizing,الإذن
Authorized,مصرّح
Gateway rejected,بوابة الدفع رفضت
Failed,فشل
Processor declined,رفض المعالج
Settled,استقر
Settling,تسوية
Submitted for settlement,مرسل للتسوية
Voided,ملغاة
Unrecognized,غير معروف
Settlement declined,رفضت التسوية
Settlement pending,التسوية معلقة
Settlement confirmed,التسوية مأكدة
Sale,بيع
Credit,الرصيد
Credit Card Type,نوع بطاقة الائتمان
Credit Card Number,رقم بطاقة الائتمان
"Please, enter valid Credit Card Number","الرجاء إدخال ""رقم بطاقة ائتمان"" صالحة"
Expiration Date,تاريخ الانتهاء
"Please, enter valid Expiration Date","الرجاء إدخال ""تاريخ انتهاء صلاحية"" صالح"
Card Verification Number,رقم التحقق من البطاقة
"Please, enter valid Card Verification Number","الرجاء إدخال ""رقم تحقق بطاقة"" صالح"
ending,إنهاء
expires,انتهاء صلاحية
Credit Card Information,معلومات بطاقة الائتمان
What is this?,ما هذا؟
Save for later use.,حفظ لاستخدامها في وقت لاحق.
Place Order,إنشاء الطلب
This payment is not available,لا يتوفر هذا الدفع
MM,MM
YY,YY
Please try again with another form of payment.,الرجاء المحاولة مرة أخرى بشكل آخر من أشكال الدفع.
"Sorry, but something went wrong.",عفواً, حدث خطأ.,,,,
BraintreeTwo,BraintreeTwo
&nbsp;,&nbsp;
Enable this Solution,تمكين هذا الحل
Enable PayPal through Braintree,تمكين باي بال عن طريق Braintree
Basic BraintreeTwo Settings,الإعدادات الأساسية BraintreeTwo
Title,العنوان
Environment,البيئة
Payment Action,فعل الدفع
Merchant ID,رمز تعريف التاجر
Public Key,المفتاح العمومي
Private Key,المفتاح الخاص
Advanced Braintree Settings,إعدادات متقدمة Braintree
Merchant Account ID,معرف حساب التاجر
Advanced Fraud Protection,الحماية المتقدمة من الاحتيال
Kount Merchant ID,معرف تاجر Kount
Debug,نقح
CVV Verification,التحقق CVV
Credit Card Types,أنواع بطاقة الائتمان
Sort Order,الترتيب
Country Specific Settings,إعدادات محددة للبلد
Payment from Applicable Countries,الدفع من البلدان المطبقة
Payment from Specific Countries,الدفع من بلدان معينة
Country Specific Credit Card Types,أنواع بطاقات الائتمان المحددة للبلد
PayPal through Braintree,باي بال عن طريق Braintree
Override Merchant Name,تجاوز اسم التاجر
Require Customer's Billing Address,تتطلب معالجة عناوين الفواتير للعميل
Allow to Edit Shipping Address Entered During Checkout on PayPal Side,السماح بتعديل عنوان الشحن خلال مرحلة الدفع بـ باي بال
Display on Shopping Cart,العرض في سلة التسوق
3D Secure Verification Settings,إعدادات التحقق آمنة 3D
3D Secure Verification,التحقق الآمن باستخدام 3D
Threshold Amount,مبلغ الحد الأعلى
Verify for Applicable Countries,تحقق من البلدان المطابقة
Verify for Specific Countries,تحقق من بلدان محددة
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.",تطبيق عامل تصفية من أجل الحصول على النتائج. سيتم عرض السجلات أول 100 فقط في الشبكة, سوف تكون قادرة على تحميل النسخة الكاملة من التقرير بتنسيق csv.,,,,
Select...,اختر...
Status,الحاله
Transaction Type,نوع المعاملة التجارية
PayPal Payment ID,معرف الدفع باي بال
Transaction ID,رقم المعاملة
Order ID,رقم الطلب
Payment Type,وسيلة الدفع
Type,النوع
Created At,انشئة في
Amount,الكمية
Settlement Code,رمز التسوية
Settlement Response Text,نص استجابة التسوية
Refund Ids,معرفات الإسترداد
Settlement Batch ID,معرف التسوية المجمعة
Currency,العملة
Percent Discount,نسبة الخصم
-- Select --,-- اختر --
Dynamic,ديناميكي
Fixed,ثابت
Create New Option,إنشاء خيار جديد
Bundle Items,عناصر حزمة
Add Products to Option,إضافة المنتجات إلى الخيار
Close,غلق
Delete Option,حذف خيار
What are you looking for?,ما الذي تبحث عنه؟
ID,رقم المعرف
